slide,ins_dur,ins_hint_txt
stim/Instr/Instr1.jpg,999,Weiter mit Leertaste
stim/Instr/Instr2.jpg,999,Weiter mit Leertaste
stim/Instr/Instr3.jpg,999,Weiter mit Leertaste
