marker,item,audiofile,audio_dur,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,settings.started,settings.stopped,wait_for_mri.started,wait_text.started,key_resp.started,wait_for_mri.stopped,key_resp.keys,key_resp.rt,key_resp.duration,t_items.started,t_fix.started,t_audio.started,t_fix.stopped,t_img.started,t_audio.stopped,t_img.stopped,t_items.stopped,participant,session,run,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.0219072359996062,0.022125939000034123,,,,,,,,,,,,,,,,001,01,02,2026-04-28_13h19.59.529,mct,,2026.1.3,60.061765236773155,2026-04-28 13h20.00.743585 +0200,
,,,,,,,,,,,,,,,,0.022383110000191664,0.05497104000005493,0.05497104000005493,23.496600894999574,5,23.381779337999433,None,,,,,,,,,001,01,02,2026-04-28_13h19.59.529,mct,,2026.1.3,60.061765236773155,2026-04-28 13h20.00.743585 +0200,
45,stim/Items/Kaffee_Pic.JPG,stim/Items/group_1_in.mp3,31.3,0,0,0,0,0,0,0,23.972410041999865,,,,,,,,,,,,23.918859352000254,23.972410041999865,53.50821669466701,54.02491417799956,54.02491417799956,84.81085341200014,,84.81124365999949,,,,,,,,,,
