marker,item,audiofile,audio_dur,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,settings.started,settings.stopped,wait_for_mri.started,wait_text.started,key_resp.started,wait_for_mri.stopped,key_resp.keys,key_resp.rt,key_resp.duration,t_items.started,t_fix.started,t_audio.started,t_fix.stopped,t_img.started,t_audio.stopped,t_img.stopped,t_items.stopped,participant,session,run,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.029669171999557875,0.029795792999721016,,,,,,,,,,,,,,,,001,01,02,2026-04-28_13h13.32.899,mct,,2026.1.3,60.087306856799614,2026-04-28 13h13.33.822289 +0200,
,,,,,,,,,,,,,,,,0.029828918000021076,0.04627991099914652,0.04627991099914652,35.43729439299932,5,35.34470599299948,None,,,,,,,,,001,01,02,2026-04-28_13h13.32.899,mct,,2026.1.3,60.087306856799614,2026-04-28 13h13.33.822289 +0200,
45,stim/Items/Kaffee_Pic.JPG,stim/Items/group_1_in.mp3,31.3,0,0,0,0,0,0,0,35.74728754199987,,,,,,,,,,,,35.72297632499976,35.74728754199987,65.43674995766584,65.75461762099985,65.75461762099985,96.73998451199986,,96.74034716599999,,,,,,,,,,
