marker,item,audiofile,audio_dur
45,stim/Items/Kaffee_Pic.JPG,stim/Items/group_1_in.mp3,31.3
46,stim/Items/Volleyball_Pic.JPG,stim/Items/group_2_out.mp3,26.3
47,stim/Items/Zug_Pic.JPG,stim/Items/group_3_out.mp3,29.3
48,stim/Items/Fussball_Pic.JPG,stim/Items/group_4_in.mp3,21.3
