118.4134 	EXP 	start_indicator: autoDraw = False
118.4134 	EXP 	text_4: autoDraw = True
123.8537 	EXP 	Sound audio_trial reached end of file
123.8690 	EXP 	Sound audio_trial reached end of file
124.4364 	EXP 	text_4: autoDraw = False
124.4364 	EXP 	text_4: autoDraw = False
124.4364 	EXP 	question_trial: height = np.float64(0.05)
124.4364 	EXP 	question_trial: height = np.float64(0.05)
124.4364 	EXP 	question_trial: height = np.float64(0.05)
124.4364 	EXP 	question_trial: text = 'Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.'
125.1690 	INFO 	Keyboard events cleared
125.1688 	EXP 	question_trial: autoDraw = True
128.1698 	EXP 	question_trial: autoDraw = False
128.1698 	EXP 	question_trial: autoDraw = False
128.1847 	EXP 	text_3: autoDraw = True
130.1702 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'file': 'audios/coh19.mp3', 'question_text': 'Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.', 'iti': 2, 'response': 2, 'condition_type': 'coh', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
130.1725 	EXP 	audio_trial: sampleRate = 44100
130.2204 	INFO 	Resampled audio from 44100Hz to 48000Hz using method 'default'.
130.2265 	EXP 	Sound audio_trial reached end of file
130.2363 	EXP 	Playing sound audio_trial on speaker MacBook Air Speakers
130.2589 	EXP 	text_3: autoDraw = False
130.2589 	EXP 	text_3: autoDraw = False
130.2589 	EXP 	text_4: autoDraw = True
136.0013 	EXP 	Sound audio_trial reached end of file
136.0164 	EXP 	Sound audio_trial reached end of file
136.2661 	EXP 	text_4: autoDraw = False
136.2661 	EXP 	text_4: autoDraw = False
136.2661 	EXP 	question_trial: text = 'Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.'
137.1823 	INFO 	Keyboard events cleared
137.1821 	EXP 	question_trial: autoDraw = True
140.1815 	EXP 	question_trial: autoDraw = False
140.1815 	EXP 	question_trial: autoDraw = False
140.1815 	EXP 	text_3: autoDraw = True
142.1654 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'file': 'audios/coh11.mp3', 'question_text': 'Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.', 'iti': 2, 'response': 2, 'condition_type': 'coh', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
142.1683 	EXP 	audio_trial: sampleRate = 44100
142.3324 	INFO 	Resampled audio from 44100Hz to 48000Hz using method 'default'.
142.3404 	EXP 	Sound audio_trial reached end of file
142.3481 	EXP 	Playing sound audio_trial on speaker MacBook Air Speakers
142.3648 	EXP 	text_3: autoDraw = False
142.3648 	EXP 	text_3: autoDraw = False
142.3648 	EXP 	text_4: autoDraw = True
148.3634 	EXP 	text_4: autoDraw = False
149.1834 	EXP 	Sound audio_trial paused
149.1967 	INFO 	Keyboard events cleared
149.1965 	EXP 	text_4: autoDraw = False
149.1965 	EXP 	question_trial: text = 'Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.'
149.1965 	EXP 	question_trial: autoDraw = True
152.1963 	EXP 	question_trial: autoDraw = False
152.1963 	EXP 	text_3: autoDraw = True
154.1628 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'file': 'audios/incoh20.mp3', 'question_text': 'Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.', 'iti': 2, 'response': 2, 'condition_type': 'inc', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
154.1657 	EXP 	audio_trial: sampleRate = 44100
154.2500 	INFO 	Resampled audio from 44100Hz to 48000Hz using method 'default'.
154.2540 	EXP 	Sound audio_trial reached end of file
