file,question_text,iti,response,condition_type,thisN,thisTrialN,thisRepN,resp_trial.keys,resp_trial.corr,trial_list.thisRepN,trial_list.thisTrialN,trial_list.thisN,trial_list.thisIndex,thisRow.t,notes,piloting,indicator_start.started,start_indicator.started,start_resp.started,indicator_start.stopped,start_resp.keys,start_resp.rt,start_resp.duration,audio.started,audio_trial.started,text_4.started,text_4.stopped,audio_trial.stopped,audio.stopped,question.started,question_trial.started,resp_trial.started,question_trial.stopped,resp_trial.stopped,question.stopped,trial_list.resp_trial.keys,trial_list.resp_trial.corr,break_3.started,text_3.started,text_3.stopped,break_3.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,False,0.02030004399966856,0.04482377499971335,0.04482377499971335,3.0750728769999114,5,2.96718516799956,None,,,,,,,,,,,,,,,,,,,001,01,2026-04-28_14h17.57.425,lobule9,,2026.1.3,60.08234032404441,2026-04-28 14h17.58.272398 +0200,
audios/incoh3.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,2,inc,0,0,0,None,0,0,0,0,33,3.2839363199991567,,,,,,,,,,3.2627410779996353,3.2791118389995972,3.2839363199991567,9.291314260000036,9.580573891999848,9.533289553000031,9.55994362599995,10.081142879999788,10.081142879999788,13.09159001199987,13.09159001199987,13.075108089999958,None,0,13.075184615999206,13.09159001199987,15.189387696999802,15.066253355999834,001,01,2026-04-28_14h17.57.425,lobule9,,2026.1.3,60.08234032404441,2026-04-28 14h17.58.272398 +0200,
audios/coh4.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,1,coh,1,1,0,,,0,1,1,19,15.189387696999802,,,,,,,,,,15.165603593000014,15.165683736999746,15.189387696999802,,20.65376289300002,,,,,,,,,,,,,,,,,,,,,,
