file,question_text,iti,response,condition_type,thisN,thisTrialN,thisRepN,resp_trial.keys,resp_trial.corr,trial_list.thisRepN,trial_list.thisTrialN,trial_list.thisN,trial_list.thisIndex,thisRow.t,notes,piloting,indicator_start.started,start_indicator.started,start_resp.started,indicator_start.stopped,start_resp.keys,start_resp.rt,start_resp.duration,audio.started,audio_trial.started,text_4.started,text_4.stopped,audio.stopped,question.started,question_trial.started,resp_trial.started,question.stopped,trial_list.resp_trial.keys,trial_list.resp_trial.corr,break_3.started,text_3.started,text_3.stopped,break_3.stopped,audio_trial.stopped,question_trial.stopped,resp_trial.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,False,0.033079712000017025,0.07131303800002797,0.07131303800002797,1.9845495910000182,5,1.8237216400000307,None,,,,,,,,,,,,,,,,,,,001,01,2026-04-28_14h29.08.744,lobule9,,2026.1.3,59.99636446031126,2026-04-28 14h29.10.176482 +0200,
audios/incoh10.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,1,inc,0,0,0,None,0,0,0,0,38,2.373697144999994,,,,,,,,,,2.3338123089999954,2.3432085953333472,2.373697144999994,8.386768093,8.987260987000013,9.025284767000016,9.054409013999987,9.054409013999987,12.00256225999999,None,0,12.002681773999996,12.017839949000006,14.064110072000005,13.967863540999986,,,,001,01,2026-04-28_14h29.08.744,lobule9,,2026.1.3,59.99636446031126,2026-04-28 14h29.10.176482 +0200,
audios/incoh12.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,2,inc,1,1,0,None,0,0,1,1,34,14.064110072000005,,,,,,,,,,14.031535763000022,14.034188349666698,14.064110072000005,20.09035860900002,20.408185678999985,20.408446826999977,20.966686745000004,20.966686745000004,23.951469769000028,None,0,23.951637388999984,23.96577334,26.199376545000007,25.965953805000026,20.431703637,23.96577334,23.96577334,001,01,2026-04-28_14h29.08.744,lobule9,,2026.1.3,59.99636446031126,2026-04-28 14h29.10.176482 +0200,
audios/incoh9.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,1,inc,2,2,0,,,0,2,2,21,26.199376545000007,,,,,,,,,,26.17252938400003,26.18224696166666,26.199376545000007,,,,,,,,,,,,,,,,,,,,,,,,
