file,question_text,iti,response,condition_type,thisN,thisTrialN,thisRepN,resp_trial.keys,resp_trial.corr,trial_list.thisRepN,trial_list.thisTrialN,trial_list.thisN,trial_list.thisIndex,thisRow.t,notes,piloting,indicator_start.started,start_indicator.started,start_resp.started,indicator_start.stopped,start_resp.keys,start_resp.rt,start_resp.duration,audio.started,audio_trial.started,text_4.started,audio_trial.stopped,text_4.stopped,audio.stopped,question.started,question_trial.started,resp_trial.started,question_trial.stopped,resp_trial.stopped,question.stopped,trial_list.resp_trial.keys,trial_list.resp_trial.corr,break_3.started,text_3.started,text_3.stopped,break_3.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,False,0.030045341000004555,0.06935278899999275,0.06935278899999275,118.17200670399995,5,118.02281854299997,None,,,,,,,,,,,,,,,,,,,001,01,2026-04-28_14h31.50.078,lobule9,,2026.1.3,None,2026-04-28 14h31.51.022760 +0200,
audios/incoh8.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,2,inc,0,0,0,None,0,0,0,0,24,118.41336580999996,,,,,,,,,,118.37628645199993,118.3807678576667,118.41336580999996,123.885802818,124.43637812999998,124.40375852099999,124.42707035699993,125.168793155,125.168793155,128.16981384400003,128.16981384400003,128.153794897,None,0,128.153981188,128.18471215599993,130.25889249199997,130.16994860599993,001,01,2026-04-28_14h31.50.078,lobule9,,2026.1.3,None,2026-04-28 14h31.51.022760 +0200,
audios/coh19.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,2,coh,1,1,0,None,0,0,1,1,4,130.25889249199997,,,,,,,,,,130.226267861,130.23627667166667,130.25889249199997,136.03293895699994,136.26611587699995,136.25021156499997,136.25035907400002,137.18210035999994,137.18210035999994,140.18148932500003,140.18148932500003,140.16576598300003,None,0,140.16588174899994,140.18148932500003,142.36477388599997,142.165201012,001,01,2026-04-28_14h31.50.078,lobule9,,2026.1.3,None,2026-04-28 14h31.51.022760 +0200,
audios/coh11.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,2,coh,2,2,0,None,0,0,2,2,17,142.36477388599997,,,,,,,,,,142.340241762,142.34810045533328,142.36477388599997,,148.36336488999996,149.17989273900002,149.183583848,149.196508805,149.196508805,,,152.179836625,None,0,152.17992972699994,152.19631953600003,154.27518998200003,154.162516997,001,01,2026-04-28_14h31.50.078,lobule9,,2026.1.3,None,2026-04-28 14h31.51.022760 +0200,
audios/incoh20.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,2,inc,3,3,0,None,0,0,3,3,20,154.27518998200003,,,,,,,,,,154.25386540199997,154.26219066099998,154.27518998200003,159.04369353999994,160.27729984199993,160.26143218999994,160.26158471399992,161.176611341,161.176611341,164.17565386900003,164.17565386900003,164.159493194,None,0,164.15958081099996,164.17565386900003,166.24029081999993,166.15984969399994,001,01,2026-04-28_14h31.50.078,lobule9,,2026.1.3,None,2026-04-28 14h31.51.022760 +0200,
audios/incoh19.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,1,inc,4,4,0,None,0,0,4,4,23,166.24029081999993,,,,,,,,,,166.20924625099997,166.20957011599995,166.24029081999993,171.55937800899994,172.24102764500003,172.224419572,172.22464035999997,173.17346113099995,173.17346113099995,,,176.166080587,None,0,176.16627292600003,176.19743710800003,178.24006447599993,178.157748459,001,01,2026-04-28_14h31.50.078,lobule9,,2026.1.3,None,2026-04-28 14h31.51.022760 +0200,
audios/incoh16.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,2,inc,5,5,0,None,0,0,5,5,31,178.24006447599993,,,,,,,,,,178.213383367,178.2240537916667,178.24006447599993,183.50643536299992,184.25690697899995,184.237990847,184.238144509,185.170477956,185.170477956,188.17010429100003,188.17010429100003,188.15428571300004,None,0,188.154370835,188.17010429100003,190.31711215199994,190.15057034899996,001,01,2026-04-28_14h31.50.078,lobule9,,2026.1.3,None,2026-04-28 14h31.51.022760 +0200,
audios/coh9.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,2,coh,6,6,0,None,0,0,6,6,0,190.31711215199994,,,,,,,,,,190.29151086799993,190.300225137,190.31711215199994,196.868818111,196.31833439799993,196.85296222599993,196.85312976599994,197.15212912200002,197.15212912200002,,,200.151142455,None,0,200.15124285699994,200.16736832599997,202.28342244099997,202.133590154,001,01,2026-04-28_14h31.50.078,lobule9,,2026.1.3,None,2026-04-28 14h31.51.022760 +0200,
audios/coh4.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,1,coh,7,7,0,None,0,0,7,7,19,202.28342244099997,,,,,,,,,,202.25975544099992,202.26658937633331,202.28342244099997,207.74837804799995,208.28205977200003,208.266127256,208.26628551099998,209.15129812199996,209.15129812199996,,,212.14857864499993,None,0,212.14871897299997,212.16407740199998,214.21139897399996,214.13036285399994,001,01,2026-04-28_14h31.50.078,lobule9,,2026.1.3,None,2026-04-28 14h31.51.022760 +0200,
audios/coh12.mp3,"Was the story about a woman? Press the left arrow key for no, or the right arrow key for yes.",2,1,coh,8,8,0,,,0,8,8,13,214.21139897399996,,,,,,,,,,214.18489740999996,214.19675004766665,214.21139897399996,,,,,,,,,,,,,,,,,,,,,,,,
